EXP#	ATDµ	ATDø	ATDc	TEµ	TEø	TEc	PMRµ	PMRø	PMRc	AWTµ	AWTø	AWTc	DEVµ	DEVø	DEVc	
EXP#1	2482.50	248.71	109.00	1.00	0.00	0.00	41.30	2.57	1.13	213.00	551.14	241.55	2195.00	250.85	109.94	
EXP#2	2496.80	330.44	144.82	1.20	0.40	0.18	33.80	2.56	1.12	133.00	293.88	128.80	2206.90	329.18	144.27	
EXP#3	2289.80	224.01	98.18	1.50	0.50	0.22	25.80	2.56	1.12	89.50	169.91	74.46	1995.00	222.16	97.37	
EXP#4	2315.60	235.78	103.34	1.40	0.49	0.21	17.30	3.98	1.74	76.40	128.94	56.51	2021.80	233.34	102.26	
EXP#5	2100.30	290.53	127.33	1.70	0.46	0.20	11.40	4.03	1.77	68.20	117.22	51.37	1808.60	293.28	128.54	
EXP#6	2035.00	131.37	57.57	1.80	0.40	0.18	7.20	2.64	1.16	54.70	76.78	33.65	1741.40	129.19	56.62	
EXP#7	2023.30	169.73	74.39	1.70	0.46	0.20	5.00	2.24	0.98	57.20	88.89	38.96	1727.80	169.89	74.46	
EXP#8	1911.00	143.86	63.05	1.70	0.46	0.20	2.10	0.94	0.41	42.40	49.27	21.59	1617.60	144.39	63.28	
EXP#9	2009.90	172.33	75.53	1.90	0.30	0.13	0.30	0.46	0.20	45.30	57.33	25.13	1714.70	169.56	74.31	
EXP#10	1926.10	203.04	88.99	1.60	0.49	0.21	0.40	0.66	0.29	37.50	37.72	16.53	1634.30	202.64	88.81	
EXP#11	1892.50	151.68	66.48	1.90	0.30	0.13	0.00	0.00	0.00	33.80	33.31	14.60	1597.80	152.37	66.78	
EXP#12	1948.10	197.69	86.64	1.80	0.40	0.18	0.00	0.00	0.00	33.80	29.84	13.08	1651.00	192.59	84.41	
EXP#13	1975.10	144.88	63.49	1.70	0.46	0.20	0.00	0.00	0.00	33.10	30.17	13.22	1678.20	142.34	62.38
e
