EXP#	ATDµ	ATDø	ATDc	TEµ	TEø	TEc	PMRµ	PMRø	PMRc	AWTµ	AWTø	AWTc	DEVµ	DEVø	DEVc	
EXP#1	2313.20	592.65	259.74	1.10	0.30	0.13	91.30	1.19	0.52	145.70	431.44	189.09	2033.50	585.79	256.73	
EXP#2	1981.80	414.02	181.45	1.20	0.40	0.18	81.00	1.26	0.55	80.40	230.55	101.04	1697.40	415.78	182.22	
EXP#3	2016.90	315.96	138.47	1.50	0.50	0.22	73.60	3.04	1.33	66.10	183.34	80.35	1728.90	312.50	136.96	
EXP#4	2216.00	289.26	126.78	1.60	0.49	0.21	64.80	3.22	1.41	71.50	188.33	82.54	1928.00	292.73	128.29	
EXP#5	2314.80	133.43	58.48	1.90	0.30	0.13	55.40	2.94	1.29	62.80	156.92	68.77	2028.60	132.58	58.10	
EXP#6	2363.60	264.20	115.79	1.80	0.40	0.18	49.70	3.29	1.44	51.00	111.34	48.80	2071.40	260.67	114.24	
EXP#7	2547.60	218.13	95.60	2.00	0.00	0.00	40.70	4.34	1.90	57.20	122.28	53.59	2255.30	221.64	97.14	
EXP#8	2437.70	317.00	138.93	2.00	0.00	0.00	34.50	2.33	1.02	60.30	130.01	56.98	2143.80	315.22	138.15	
EXP#9	2246.50	218.10	95.59	1.60	0.49	0.21	24.60	4.52	1.98	47.90	93.84	41.13	1954.70	221.29	96.98	
EXP#10	2258.10	190.89	83.66	1.90	0.30	0.13	17.30	3.98	1.74	50.40	96.63	42.35	1961.70	187.34	82.10	
EXP#11	2175.00	221.41	97.04	1.40	0.49	0.21	11.90	2.98	1.31	44.30	77.04	33.76	1876.40	223.71	98.05	
EXP#12	2140.80	257.03	112.65	1.10	0.30	0.13	8.50	2.33	1.02	39.50	63.17	27.68	1846.70	258.44	113.27	
EXP#13	1815.40	254.26	111.43	1.00	0.00	0.00	6.30	1.79	0.79	31.10	44.60	19.55	1520.00	253.74	111.21	
EXP#14	1755.20	256.01	112.20	0.90	0.30	0.13	2.80	1.25	0.55	26.40	32.59	14.28	1460.60	251.89	110.39	
EXP#15	1475.50	167.71	73.50	0.50	0.50	0.22	2.20	1.08	0.47	21.30	26.18	11.48	1178.60	171.86	75.32	
EXP#16	1261.40	150.86	66.12	0.00	0.00	0.00	0.70	0.90	0.39	19.10	29.48	12.92	961.40	151.70	66.49	
EXP#17	1102.20	128.41	56.28	0.00	0.00	0.00	0.80	0.98	0.43	12.50	13.44	5.89	799.50	127.30	55.79	
EXP#18	914.20	122.03	53.48	0.00	0.00	0.00	0.10	0.30	0.13	9.50	10.50	4.60	608.90	117.95	51.69	
EXP#19	782.60	42.89	18.80	0.00	0.00	0.00	0.00	0.00	0.00	7.10	7.22	3.16	481.70	45.13	19.78	
EXP#20	726.00	131.74	57.74	0.00	0.00	0.00	0.00	0.00	0.00	6.50	8.49	3.72	421.30	134.97	59.16	
EXP#21	643.80	144.70	63.42	0.00	0.00	0.00	0.00	0.00	0.00	4.60	5.39	2.36	343.50	145.16	63.62	
EXP#22	583.80	70.81	31.04	0.00	0.00	0.00	0.00	0.00	0.00	4.00	4.27	1.87	278.60	70.86	31.06	
EXP#23	550.20	78.84	34.55	0.00	0.00	0.00	0.00	0.00	0.00	3.00	3.29	1.44	246.30	78.50	34.40	
EXP#24	528.40	55.48	24.31	0.00	0.00	0.00	0.00	0.00	0.00	2.50	2.66	1.16	222.60	53.43	23.42	
EXP#25	483.80	44.80	19.64	0.00	0.00	0.00	0.00	0.00	0.00	2.30	3.77	1.65	179.90	41.75	18.30
